id,label,tweet
1,0,"É a app que uso mais frequentemente, uma vez que, em geral, indica a chegada dos autocarros em tempo real. No entanto, já aconteceu indicar autocarros que não passaram. É prática para quem faz viagens frequentes recorrendo às mesmas paragens, já que permite criar uma lista de favoritos, onde ficam registados os códigos das paragens. Não é nada prática quando o objetivo é planificar novos percursos e conexões."
2,1,"Não mostra todas as paragens da respectiva linha, o tempo de espera muito dificilmente se encontra correto... Esta aplicação vai de mal a pior"
3,1,"Fecha de vez em quando e nem sempre está operacional, mas oferece uma grande variedade de transportes e rotas alternativas. Acho que podiam melhorar em certas áreas como tornar a aplicação mais fácil de se utilizar"
4,1,"Tenho um tracking de todos os bus em tempo real, no entanto o 700 é mágico aparece no mapa e depois desaparece e falha 2 horários seguidos. Só queria que os STCP não tivessem se metido nas carreiras Valpi, porque quando não existia 700 tinha sempre bus para ir e vir do trabalho nos horários certos. Vocês precisam é de mais competição e mais multas por falharem 3 ou 4 horários seguidos!!"
5,1,"É quase um aplicativo afuncional!! Fecha 90% das vezes, começou hoje erros absurdos de horário, ônibus em horários que aparecem e desaparecem e depois não atualizam... e aí então da problema e fecha! Uma ideia tão boa, mas sem manutenção e cuidados!!!"
6,1,"Está constantemente errada quanto aos horários em tempo real dos transportes."
7,1,"No começo que comecei a usar a aplicação funcionava muito bem, ultimamente a aplicação não da os horarios correctos"
8,1,"uma aplicação que crasha SEMPRE que se faz uma pesquisa, seja no mapa ou pelo código da paragem, considerando que a utilidade da app seria esse, é puor que inútil. é frustrantemente inútil"
9,0,"Este aplicativo sempre me foi útil. Porém, desde que troquei de aparelho , não consegui mais usar. O aplicativo não funciona, já instalei 10 vezes e nada. Meu aparelho é Zenfone 4 selfie pro."
10,1,"Nunca vi uma app a funcionar tão mal. Dois minutos, crashou 3 vezes. Não funciona, é complicada de usar. Não vale a pena."
11,0,"o conceito é fenomenal e uso bastantes vezes, o problema é que recentemente nunca consegue obter em tempo real os dados dos autocarros, ou seja, é como se não existisse a aplicação"
12,1,"A aplicação é muito útil mas trava sem motivo aparente e a própria APP necessita de uma cara nova (design). Validem os constantes bloqueios e fechos uma vez q já validei em mais q um equipamento."
13,1,"Honestamente uma das piores é mais frustrantes aplicações que alguma vez utilizei, absoluto lixo, raramente funciona, e quando funciona tem os horários incorrectos."
14,1,"A app foi muito útil durante meses. Desde há uns meses para cá a app crasha constantemente. É impossível usar."
15,1,"Já há quase 2 meses que não fornece o horário em tempo real (*) Já desinstalei e voltei a instalar, e nada. Era uma App que usava todos os dias, agora não é confiável."
16,1,"O app para de funcionar a todo tempo. A busca é por empresa e não pelo número do autocarro, ou seja, não ajuda turistas e nem pessoas q vivem há pouco na cidade. Não funciona a localização."
17,1,"A maior parte das vezes não funciona, horários por vezes não são em tempo real, vai abaixo a meio da pesquisa. Péssimo."
18,1,"Falha demasiadas vezes. Na pesqiisa de horarios da CP raramente funciona. Tinha tudo para ser uma boa aplicação... é pena!!!"
19,1,"Deixa de funcionar muitas vezes e outras informa que o autocarro passa em 15minutos e passado 3/4 passa um. Nao e muito util desta forma"
20,1,"trava muito.. nestes últimos tempos.. não tem indicado, o tempo real, que a viatura demora a chegar à paragem.."
21,1,"Não dá para pesquisar o que quer que seja. Já funcionou relativamente bem mas de momento é uma aplicação inútil."
22,1,"Está constantemente a ir abaixo. Podia ter horários da Resende atualizados, visto a última atualização ter sido em 2016."
23,1,"Se funciona-se a ideia era boa e útil. Trava com frequência, pouco amigável, não é intuitiva e prática"
24,1,"app com uma ideia otima mas muitas vezes deixa a desejar! os horarios nem sempre sao em tempo real e desde a semana passada que só dá as horas estimadas, quando da. tem crashado muito."
25,1,"Aplicativo muito mal desenvolvido. Cheio de erros, só conseguir abri-lo já é uma conquista, conseguir ver o horário em tempo real então é quase impossível ultimamente."
26,1,"Boa tarde! Tenho verificado que na aplicação não aparece a previsão do horário da linha 902. Seja no Largo Moutinho ou até mesmo na casa da música. Podem verificar por favor."
27,1,"Péssimo design, grande parte das operadoras não actualizam informações à anos e o app está sempre a fechar."
28,0,"quando funciona é uma aplicação muito boa e util.. o problema é que esses momentos são cada vez mais raros"
29,1,"Não funciona... Sempre que coloco o nome da paragem e esta pesquisa para me indicar o tempo que falta esta para!"
30,1,"Se a aplicação não deixasse de funcionar sempre que é precisa era perfeita."
31,1,"Está constantemente a bloquear. E com horários que não são em tempo real."
32,1,"Nem sempre a chegada do autocarro coincide com a informação dada pela aplicação."
33,1,"App em decadência!!! A linha do metro do Porto não funciona já desde Dezembro!!!"
34,1,"Aplicação indispensável para uso dos trbasportes coletivos do Porto mas é uma aplicação um pouco lenta de se usar"
35,1,"o horário do Metro do Porto, não corresponde, á hora do que diz na aplicação. Stcp .. sim"
36,1,"Simplesmente não funciona, sempre a crashar, horrível!"
37,0,"Bom conceito mas ainda falta bastante trabalho na aplicação para se puder dar uso diário"
38,1,"Após uma pesquisa de paragem ao selecionar a paragem pretendia, a aplicação vai abaixo. Por favor vejam esse problema, pois dantes nada disso fazia."
39,1,"A aplicação não mostra nunca as carreiras da valpi ou da etg, uma pessoa consulta e não dá absolutamente nada."
40,1,"A APP crasha sempre que carrego numa paragem para ver detalhes e sempre que faço uma pesquisa."
41,1,"Nunca consegui usar, sempre que entro dá crash."
42,1,"É absolutamente inútil. A app não actualiza os horários"
43,1,"Abro a app, coloco a paragem e depois desliga. Porque é que crasha?"
44,1,"Muito inconsistente. Tem dias em que funciona outros não!"
45,1,"Pessima experiência, a app vai sempre abaixo. Não recomendo."
46,1,"Está sempre a crashar. Não se pode confiar na app"
47,1,"Não é fácil de entender e pior de usar. Utilidade mínima."
48,1,"Algumas paragens não chega a dar sobre autocarros , horários, nada! Deixa a desejar ."
49,1,"Crasha mt e por vezes não aparece o horário real o k faz perder alguns autocarros... Se melhorar é a melhor app"
50,1,"Não é fiável e sempre que tento pesquisar paragens vai a baixo."
51,1,"Dava jeito se sequer funcionasse antes de crashar...."
52,1,"Tudo acaba por falhar numa aplicação com enorme potencial."
53,1,"deixou de ter horarios em tempo real. tornou se aplicação banal"
54,1,"desliga-se sem razão aparente. muito lento....."
55,1,"têm de trabalhar mais.a ideia é boa mas não funciona bem."
56,1,"Sempre que tento utilizar a aplicação ela fecha"
57,1,"O tempo todo dizendo que tem erro de sistema."
58,1,"Raramente acerta na próxima partida do metro"
59,1,"Nem dá para comentar... Desaconselho. Vou desinstalar, agora!"
60,1,"Muito mau,vai abaixo quase sempre e quando não vai o horario esta errado"
61,0,"Só não dei 5 estrelas porque não diz o tempo certo"
62,1,"O autocarro demora 🙄"
63,1,"Nao presta deveriam fazer outro tipo de aplicaçáo"
64,1,"Esta sempre a ir abaixo e nao consigo procurar o destino."
65,1,"nao gostei é muito difícil paraim"
66,1,"Nao é fiavel"
67,1,"Deixou de abrir no meu telemóvel."
68,1,"falha muito não é estavel a aplicação"
69,0,"Mais oi menos"
70,1,"nem sempre é certo"
71,1,"Aplicação de merdaa"
72,1,"trava muito e faz shutdown"
73,1,"Sempre a dar erro"
74,1,"Mal estruturada, pouco intuitiva, mas sobretudo pouco fiável na informação prestada e na maior parte das vezes não funciona de todo. Mais um desperdício de dinheiros públicos. E acho que está cada vez pior,muito por culpa do STCP^"
75,1,"Tanto da bem como de momento para o outro não"
76,1,"Não funciona"
77,0,"bom"
78,0,"Bom"
79,0,"5* :) :) :) :) :)"
80,1,"Crasha constantemente ou simplesmente não funciona pela mínima coisa. Tenham responsabilidade e arranjem a pobre tentativa de uma aplicação que isto é."
81,0,"muito bom"
82,1,"Durante muito tempo usei esta App e foi muito útil, mas há umas semanas sempre que tento pesquisar paragens bloqueia e desliga a aplicação. Será que têm solução ou vão deixar-me sem resposta como têm feito com os outros comentadores?"
83,1,"Inadmissível uma aplicação desenvolvida por uma empresa crashar sempre que se seleciona uma paragem! Uma aplicação funcional era o mínimo que deviam apresentar. Já funcionou em tempos em versões mais antigas mas é preciso manter a aplicação."
84,0,"Tem horários fiáveis em tempo real quando a aplicação não vai abaixo e deixa de funcionar quando mais precisamos dela. É favor melhorarem a app para tentarem chegar aos standards da Moovit"
85,1,"App sempre a crashar, sem o código de cada paragem dificilmente dá para achar a mesma, os horarios estão várias vezes errados fazendo com que o utilizador fique por vezes mais de 1h à espera do autocarro."
86,1,"Já foi enviada reclamação por mail várias vezes. Motivo. Existe uma carreira que faz Matosinhos- Valongo e vice versa (61) a mesma não aparece contudo EXISTE. Já esteve na app. Retiraram. PORQUÊ? Respostas nada. Correcção do problema NADA. Enfim. E uma carreira que é muito utilizada."
87,0,"A aplicação tem um pequeno erro na linha do 61 Valpi que não aparece, muitas das vezes a paragem que colocamos a partir de outro autocarro (ex: 506) antes aparecia o tempo de chegada do 61 neste momento nem isso .. Agradeço que coloquem na aplicaçao o 61 porque é um autocarro muito procurado e que tambem circula. Obrigada"
88,1,"Em tempos era boa aplicação, agora após escrever o nome da paragem ela simplesmente bloqueia e volta à minha home page... Péssimo!"
89,1,"Quando se muda deve ser para melhor...esta versão raia o ridículo no seu ""não"" funcionamento... Não dá para voltar para o 1 amor/versão?""
90,1,"Erra bastante nos tempos de chegada dos bus. Não tem precisão. Isto quando a APP não empanca. Assim passa a ser inútil"
91,1,"Até gosto do design da aplicação, mas a questão é que 90% das vezes ou não funciona ou nem abre! Já desinstalei e voltei a instalar várias vezes mas não resulta! A aplicação simplesmente deixou de funcionar. Quando se tenta fazer uma pesquisa, automaticamente fecha e por mais vezes que se tente, não dá! Não funciona mesmo! Podem corrigir o problema que já foi identificado por muitos utilizadores? É que a app era muito útil se funcionasse, assim só cria mais frustração. O que vale é que vou ao site do STCP e encontro os dados em tempo real também inserindo o código da paragem como na aplicação, mas mesmo assim, se a corrigissem, seria muito útil e mais fácil de aceder do que um site que nem otimizado para smartphones está como o da STCP...."
92,1,"É uma aplicação útil quando não crasha. Sempre que pesquiso por próximas paragens, e carrego na paragem que quero, ele mostra o ecrã de loading e depois vai abaixo."
93,1,"Simplesmente não funciona. As alterações fizeram com que apenas ocupe espaço, pois toda a funcionalidade desapareceu, não se consegue obter resultados. Prefiro usar uma aplicação que realmente funcione. A desinstalar"
94,1,"A app mostra que o autocarro da stcp está quais a chegar, mas depois nada de autocarro. Supostamente não mostra os horários em tempo real? Se assim não é, não serve para nada isto. Aconteceu-me mesmo agora e já não é nem a primeira, nem a segunda, nem a terceira,... vez que isto acontece."
95,1,"Sempre que abro a app e tento pesquisar um destino em acaba por ir abaixo, e impossivel já a instalei a uns dias e não houve uma vez que conseguisse pesquisar um destino. Perda de tempo em instalar 😒"
96,1,"Aquilo que não deve ser uma aplicação de pesquisa de transportes públicos. Não é user friendly. Crasha nas pesquisas...mau demais."
97,1,"A app apesar de funcionar bem e crashar de vez em quando deveria já ter actualizado os horários da CP que actualmente não são os reais. Agradeço que rectifique, obrigada."
98,1,"A aplicação não me deixa realizar consultas, desligando-se sempre que faço uma busca por paragem"